score_num,ranking,movie_name,score
172,8.5,蝙蝠侠：黑暗骑士崛起,286428人评价
173,8.5,战争之王,170522人评价
174,8.6,可可西里,125471人评价
175,8.7,梦之安魂曲,108985人评价
176,8.8,地球上的星星,81432人评价
177,8.7,碧海蓝天,106231人评价
178,8.8,未麻的部屋,91927人评价
179,8.6,爆裂鼓手,228838人评价
180,8.3,秒速5厘米,285561人评价
181,8.3,恐怖游轮,309794人评价
182,8.5,谍影重重2,154567人评价
183,8.5,阿飞正传,174797人评价
184,8.5,谍影重重,186451人评价
185,8.6,达拉斯买家俱乐部,162493人评价
186,8.7,牯岭街少年杀人事件,102603人评价
187,8.6,海盗电台,162118人评价
188,8.8,惊魂记,79635人评价
189,8.4,魔女宅急便,187415人评价
190,8.5,被解救的姜戈,251826人评价
191,8.5,再次出发之纽约遇见你,160838人评价
192,9.2,东京物语,48608人评价
193,8.7,绿里奇迹,102997人评价
194,8.5,勇闯夺命岛,138088人评价
195,9.1,迁徙的鸟,50755人评价
196,8.7,末路狂花,100869人评价
197,8.4,青蛇,212170人评价
198,8.6,荒野生存,123304人评价
199,8.8,哪吒闹海,76820人评价
200,8.6,卡萨布兰卡,120711人评价
201,8.5,终结者2：审判日,136329人评价
202,9.0,忠犬八公物语,54769人评价
203,8.5,这个男人来自地球,172253人评价
204,8.6,燕尾蝶,105529人评价
205,8.4,变脸,207612人评价
206,8.3,源代码,396153人评价
207,8.4,新龙门客栈,176294人评价
208,8.4,英国病人,169667人评价
209,8.5,E.T. 外星人,147451人评价
210,9.1,黄金三镖客,49467人评价
211,8.5,黑客帝国3：矩阵革命,149466人评价
